id;test_date;user_id;user_name;user_gender;user_birthday;user_age;user_height;order_date
1;2021-03-13T10:29:13;6687;sexy neutral gold;SQL;neural Credit Card Account;7111;62942;2021-03-13T11:56:39
2;2021-03-13T08:56:06;56244;Summit compress;indigo bypass Fantastic Frozen Bike;hacking;88747;1652;2021-03-13T11:56:50
3;2021-03-12T21:49:34;97082;Cambridgeshire connect B2B;wireless Checking Account;multi-state;4825;75482;2021-03-13T12:24:56
4;2021-03-12T19:45:01;86196;Integrated indexing;Electronics;bypass gold Applications;25266;71493;2021-03-13T03:19:03
5;2021-03-13T01:56:11;39960;metrics Center;Keyboard;Chicken fresh-thinking;39012;34378;2021-03-12T21:11:07
6;2021-03-13T13:06:12;23335;Supervisor reinvent deposit;Hungary Bedfordshire New Hampshire;Infrastructure;2080;7912;2021-03-13T09:35:28
7;2021-03-12T16:55:26;46247;Graphical User Interface deposit synthesizing;Paradigm compressing;Florida Sleek transmitting;8341;74017;2021-03-12T20:25:43
8;2021-03-13T13:23:12;38569;quantify Function-based;Reverse-engineered;RSS New Mexico Mauritius Rupee;50444;1263;2021-03-13T06:25:58
9;2021-03-13T05:45:00;87718;Awesome Plastic Towels collaboration;Buckinghamshire;Minnesota Saint Martin Organic;63287;302;2021-03-13T13:01:55
10;2021-03-13T05:42:39;40738;Port;visionary well-modulated Analyst;Awesome unleash;72189;11178;2021-03-12T19:01:48
